,class,mean_cases,population,ratio,state,date
7868,red,769,4477251,17.17571786795067,Kentucky,2020-09-07
13293,red,1526,8882371,17.18009752125868,New Jersey,2020-05-17
8880,red,232,1350141,17.1833904755133,Maine,2021-02-14
8813,red,232,1350141,17.1833904755133,Maine,2020-12-09
12016,red,333,1937552,17.186635507072843,Nebraska,2020-05-18
12297,yellow,333,1937552,17.186635507072843,Nebraska,2021-02-23
5935,yellow,314,1826913,17.18746322348136,Idaho,2021-03-23
16181,yellow,2010,11693217,17.189452654474813,Ohio,2021-04-14
9047,red,1041,6055802,17.19012609725351,Maryland,2020-05-31
10879,red,510,2966786,17.190319760171445,Mississippi,2020-10-06
14888,red,1823,10600823,17.196778023744006,North Carolina,2021-03-30
7867,red,770,4477251,17.198053001719135,Kentucky,2020-09-06
6061,red,2165,12587530,17.199561788531984,Illinois,2020-05-27
5310,red,242,1407006,17.19964236115553,Hawaii,2020-09-05
22526,red,307,1784787,17.2009321000209,West Virginia,2021-02-28
19728,red,5052,29360759,17.206639651243346,Texas,2020-07-01
18445,red,898,5218040,17.20952694881603,South Carolina,2020-06-26
4978,yellow,29,168485,17.21221473721696,Guam,2020-12-08
4904,yellow,29,168485,17.21221473721696,Guam,2020-09-25
4090,red,3742,21733312,17.21780831195908,Florida,2020-11-02
19563,yellow,1186,6886834,17.221265969239276,Tennessee,2021-03-19
9349,red,1043,6055802,17.223152276114707,Maryland,2021-03-29
1408,red,522,3030522,17.22475533917919,Arkansas,2020-06-29
14890,red,1826,10600823,17.225077713305843,North Carolina,2021-04-01
14650,red,1826,10600823,17.225077713305843,North Carolina,2020-08-04
10153,red,1717,9966555,17.22761776762382,Michigan,2021-02-09
20234,red,560,3249879,17.23141076944711,Utah,2020-09-19
16374,red,686,3980783,17.23279063440534,Oklahoma,2020-08-24
19309,red,1187,6886834,17.235786429584337,Tennessee,2020-07-08
12593,red,541,3138259,17.238857595883577,Nevada,2020-10-16
1112,red,1280,7421401,17.247417300318364,Arizona,2020-11-06
15256,yellow,132,765309,17.247935147763847,North Dakota,2021-01-31
15087,red,132,765309,17.247935147763847,North Dakota,2020-08-15
15091,red,132,765309,17.247935147763847,North Dakota,2020-08-19
19097,yellow,154,892717,17.25070767107605,South Dakota,2021-02-07
19107,yellow,154,892717,17.25070767107605,South Dakota,2021-02-17
19986,red,5066,29360759,17.254322342280048,Texas,2021-03-16
3821,red,123,712816,17.255504926937668,District of Columbia,2021-04-08
3819,red,123,712816,17.255504926937668,District of Columbia,2021-04-06
4025,red,3751,21733312,17.25921939555278,Florida,2020-08-29
6163,red,2173,12587530,17.26311675126097,Illinois,2020-09-06
8283,red,802,4645318,17.264695334097688,Louisiana,2020-08-27
16180,yellow,2019,11693217,17.266420352927685,Ohio,2021-04-13
134,red,850,4921532,17.271044869768193,Alabama,2020-07-03
1233,yellow,1282,7421401,17.274366389850112,Arizona,2021-03-07
17810,red,551,3189068,17.27777519952538,Puerto Rico,2021-01-29
16570,yellow,688,3980783,17.28303200651731,Oklahoma,2021-03-08
21705,red,1485,8590563,17.28641068111601,Virginia,2021-03-31
1409,red,524,3030522,17.290750570363784,Arkansas,2020-06-30
20406,yellow,562,3249879,17.292951522195132,Utah,2021-03-10
22083,red,1331,7693612,17.300066600707183,Washington,2021-02-11
12547,red,543,3138259,17.302587198825844,Nevada,2020-08-31
18563,red,903,5218040,17.30534836835287,South Carolina,2020-10-22
11874,yellow,187,1080577,17.3055691542574,Montana,2021-02-26
16010,red,2024,11693217,17.3091801854015,Ohio,2020-10-25
21714,red,1487,8590563,17.3096920423027,Virginia,2021-04-09
21721,red,1487,8590563,17.3096920423027,Virginia,2021-04-16
4395,red,1854,10710017,17.310896892133787,Georgia,2020-07-04
17946,red,183,1057125,17.311103228095067,Rhode Island,2020-04-14
377,yellow,852,4921532,17.31168262240294,Alabama,2021-03-03
7001,red,548,3163561,17.322251728352953,Iowa,2020-08-23
19592,yellow,1193,6886834,17.322909191654688,Tennessee,2021-04-17
10857,red,514,2966786,17.32514579750612,Mississippi,2020-09-14
20823,red,108,623347,17.325823337563186,Vermont,2021-03-01
3050,red,171,986809,17.328581316141218,Delaware,2020-04-28
3064,red,171,986809,17.328581316141218,Delaware,2020-05-12
3078,red,171,986809,17.328581316141218,Delaware,2020-05-26
19790,red,5089,29360759,17.33265819184034,Texas,2020-09-01
16182,yellow,2027,11693217,17.334836084885794,Ohio,2021-04-15
12004,red,336,1937552,17.341470061190616,Nebraska,2020-05-06
16184,yellow,2028,11693217,17.343388051380558,Ohio,2021-04-17
13164,red,237,1366275,17.346434648954272,New Hampshire,2021-03-10
19546,yellow,1195,6886834,17.351950112344802,Tennessee,2021-03-02
7897,red,777,4477251,17.3543989380984,Kentucky,2020-10-06
21722,red,1491,8590563,17.356254764676073,Virginia,2021-04-17
16381,red,691,3980783,17.358394064685264,Oklahoma,2020-08-31
6198,red,2185,12587530,17.35844919535445,Illinois,2020-10-11
19134,yellow,155,892717,17.362725253355766,South Dakota,2021-03-16
19577,yellow,1196,6886834,17.36647057268986,Tennessee,2021-04-02
