OBJECTID,Place,תאריך,שעות שהייה,lng,lat
1276282,Malika - שוהם,29/6/2020,20:00 - 21:00,34.94596620000000,32.00004530000010
1276283,חניון הנתיב המהיר - ,30/6/2020,08:15 - 08:50,34.84267640000010,32.001342900000100
1276284,הרמוניה בגן צומת כנות - גדרה,28/6/2020,20:00 - 23:30,34.761447100000100,31.804193500000100
1276285,קניון עופר רחובות - רחובות,28/6/2020,11:00 - 15:00,34.80682420000010,31.89330680000010
1276286,רמי לוי - סניף עטרות - ירושלים,28/6/2020,13:30 - 15:00,35.21751290000000,31.85347870000000
1276287,"הדקל 13, תל מונד",29/6/2020,13:00 - 14:00,34.914746500000000,32.24867130000010
1276288,"רבי עקיבא 47, בני ברק",29/6/2020,08:00 - 15:00,34.82804120000000,32.08768920000010
1276289,שרתון תל אביב - תל אביב יפו,1/7/2020,14:30 - 18:00,34.76815920000010,32.081344100000000
1276290,עונות - חולון,30/6/2020,11:30 - 13:30,34.778886800000100,32.01226940000000
1276291,שופרסל שלי ארלוזורוב - תל אביב יפו,28/6/2020,21:30 - 22:15,34.77909960000010,32.08614060000010
1276292,ג'מס הרצליה - הרצליה,29/6/2020,17:30 - 20:00,34.811222300000100,32.16489810000010
1276293,גראז' - תל אביב יפו,29/6/2020,11:00 - 12:00,34.83446810000000,32.107169800000100
1276294,גראז' - תל אביב יפו,1/7/2020,16:00 - 16:30,34.83446810000000,32.107169800000100
1276295,טרם Terem - יבנה,28/6/2020,23:40 - 23:59,34.744943300000000,31.86909450000010
1276296,נאפיס ראשון לציון - ראשון לציון,27/6/2020,00:00 - 01:00,34.80870200000000,31.974004600000100
1276297,הרמוזו החדש - מודיעין מכבים רעות,28/6/2020,20:00 - 23:59,34.96882910000010,31.923528300000000
1276298,ביטוח לאומי - נתניה,28/6/2020,11:00 - 12:00,34.862768000000100,32.32622200000000
1276299,"מסילת יוסף 1, מודיעין עילית",29/6/2020,17:45 - 18:15,35.04590230000010,31.93279650000010
1276300,קפה קוקו - תל אביב יפו,29/6/2020,16:00 - 23:59,34.774262400000100,32.07716450000000
1276301,קפה קוקו - תל אביב יפו,28/6/2020,16:00 - 23:59,34.774262400000100,32.07716450000000
1276302,קניון רמות - ירושלים,28/6/2020,11:00 - 15:00,35.194444400000100,31.817500000000100
1276303,קניון TLV - תל אביב יפו,29/6/2020,21:00 - 22:00,34.786339600000100,32.06907730000010
1276304,פיצה ברוקלין - תל אביב יפו,29/6/2020,22:15 - 22:30,34.77629200000010,32.09191100000000
1276305,יער הפיות - תל אביב יפו,30/6/2020,16:00 - 16:30,34.77493960000000,32.07502240000010
1276306,פדריק - מודיעין מכבים רעות,30/6/2020,18:30 - 20:00,34.966700600000000,31.888768000000000
1276307,ארומה - Modi`in,29/6/2020,09:00 - 10:30,35.00825100000000,31.89986700000000
1276308,כיכר רבין - תל אביב יפו,28/6/2020,20:00 - 21:30,34.78061980000010,32.080484600000000
1276309,מלי מלו - תל אביב יפו,1/7/2020,22:00 - 23:30,34.77419610000000,32.06281720000000
1276310,בית חולים שניידר - פתח תקווה,29/6/2020,19:00 - 23:30,34.86866730000000,32.08878850000010
1276311,וופל בר נתניה Waffle Bar Netanya - נתניה,29/6/2020,21:00 - 22:30,34.861107600000000,32.281446800000000
1276312,מקס ברנר נתניה - נתניה,29/6/2020,22:30 - 23:30,34.86202000000000,32.28122490000000
1276313,קניון כפר סבא הירוקה - כפר סבא,28/6/2020,11:00 - 12:00,34.89136680000010,32.192003200000000
1276314,קניון כפר סבא הירוקה - כפר סבא,29/6/2020,17:00 - 18:00,34.89136680000010,32.192003200000000
1276315,חוף ראשון לציון - ראשון לציון,28/6/2020,12:00 - 15:00,34.73258640000010,32.00167970000010
1276316,אבוקייק - ,28/6/2020,09:55 - 13:00,35.624386800000000,32.907974600000000
1276317,פיט סטודיו רמה״ש - רמת השרון,29/6/2020,09:00 - 10:00,34.83851020000000,32.151280400000100
1276318,TAKE2 - תל אביב יפו,30/6/2020,14:00 - 15:15,34.79894500000010,32.07397170000010
1276319,אלביט מערכות אלישרא - חולון,28/6/2020,15:30 - 23:00,34.808865800000000,32.01208580000010
1276320,"יצחק רבין 11, חדרה",29/6/2020,12:30 - 14:30,34.92308360000000,32.42750600000010
1276321,"שדרות נווה יעקב 11, ירושלים",28/6/2020,11:30 - 11:50,35.24013930000010,31.843718600000000
1276322,קניון מלחה ירושלים - ירושלים,28/6/2020,13:30 - 15:30,35.18732270000000,31.75166150000010
1276323,כיסרא - כיסרא סומיע,2/7/2020,10:00 - 11:00,35.29852800000000,32.972320000000000
1276324,כיסרא - כיסרא סומיע,30/6/2020,18:00 - 23:00,35.29852800000000,32.972320000000000
1276325,כיסרא - כיסרא סומיע,1/7/2020,18:00 - 23:00,35.29852800000000,32.972320000000000
1276326,כיסרא - כיסרא סומיע,2/7/2020,18:00 - 23:00,35.29852800000000,32.972320000000000
1276327,כיסרא - כיסרא סומיע,3/7/2020,18:00 - 23:00,35.29852800000000,32.972320000000000
1276328,כיסרא - כיסרא סומיע,29/6/2020,17:30 - 19:30,35.29852800000000,32.972320000000000
1276329,כיסרא - כיסרא סומיע,29/6/2020,20:00 - 23:00,35.29852800000000,32.972320000000000
1276330,בנק לאומי סניף בית ג'אן - בית ג'ן,1/7/2020,13:00 - 14:00,35.37129610000010,32.96137290000010
1276331,אייקון פיטנס אשדוד - אשדוד,29/6/2020,20:30 - 22:30,34.64153290000010,31.79449130000010
1276332,בארבי - תל אביב יפו,28/6/2020,22:15 - 23:30,34.76972760000010,32.05101760000010
1276333,באקה אל גרבייה - ,30/6/2020,17:00 - 18:00,35.23315400000010,31.952162000000000
1276334,גלידת גולדה - רמלה,29/6/2020,15:00 - 15:30,34.88996460000000,31.93182010000000
1276335,"תרשיש 70, שוהם",30/6/2020,19:00 - 19:30,34.93935030000010,31.992186700000000
1276336,תל-יה גן אירועים - תל יצחק,28/6/2020,19:30 - 21:00,34.875280900000100,32.25403950000000
