province_country,id,value,color
"Pasco, Florida, US",84012101,0.3106796116504854,yellow
"Pinellas, Florida, US",84012103,0.706984667802385,orange
"Polk, Florida, US",84012105,0.824773413897281,red
"Putnam, Florida, US",84012107,0.16831683168316833,yellow
"St. Johns, Florida, US",84012109,0.10091743119266056,yellow
"St. Lucie, Florida, US",84012111,0.5233644859813084,orange
"Santa Rosa, Florida, US",84012113,0.20610687022900764,yellow
"Sarasota, Florida, US",84012115,0.8252788104089219,red
"Seminole, Florida, US",84012117,0.1914191419141914,yellow
"Sumter, Florida, US",84012119,0.16541353383458646,yellow
"Suwannee, Florida, US",84012121,0.2377049180327869,yellow
"Taylor, Florida, US",84012123,1.0,red
"Union, Florida, US",84012125,1.0,red
"Volusia, Florida, US",84012127,0.33497536945812806,yellow
"Wakulla, Florida, US",84012129,0.35294117647058826,yellow
"Walton, Florida, US",84012131,1.0,red
"Washington, Florida, US",84012133,0.28571428571428575,yellow
"Appling, Georgia, US",84013001,0.41,orange
"Atkinson, Georgia, US",84013003,0.15384615384615385,yellow
"Bacon, Georgia, US",84013005,0.9508196721311476,red
"Baker, Georgia, US",84013007,0.08333333333333334,green
"Baldwin, Georgia, US",84013009,0.20379146919431276,yellow
"Banks, Georgia, US",84013011,0.5714285714285714,orange
"Barrow, Georgia, US",84013013,0.8032786885245901,red
"Bartow, Georgia, US",84013015,0.5052631578947369,orange
"Ben Hill, Georgia, US",84013017,0.5806451612903226,orange
"Berrien, Georgia, US",84013019,0.5,orange
"Bibb, Georgia, US",84013021,0.2821316614420063,yellow
"Bleckley, Georgia, US",84013023,0.3666666666666667,yellow
"Brantley, Georgia, US",84013025,1.0,red
"Brooks, Georgia, US",84013027,0.05970149253731343,green
"Bryan, Georgia, US",84013029,0.30952380952380953,yellow
"Bulloch, Georgia, US",84013031,0.15625,yellow
"Burke, Georgia, US",84013033,0.2954545454545454,yellow
"Butts, Georgia, US",84013035,0.23834196891191708,yellow
"Calhoun, Georgia, US",84013037,0.12790697674418605,yellow
"Camden, Georgia, US",84013039,0.9062499999999999,red
"Candler, Georgia, US",84013043,0.37499999999999994,yellow
"Carroll, Georgia, US",84013045,0.200836820083682,yellow
"Catoosa, Georgia, US",84013047,0.6153846153846154,orange
"Charlton, Georgia, US",84013049,0.923076923076923,red
"Chatham, Georgia, US",84013051,0.6933333333333334,orange
"Chattahoochee, Georgia, US",84013053,1.0,red
"Chattooga, Georgia, US",84013055,0.14285714285714288,yellow
"Cherokee, Georgia, US",84013057,0.838150289017341,red
"Clarke, Georgia, US",84013059,0.3478260869565218,yellow
"Clay, Georgia, US",84013061,0.2222222222222222,yellow
"Clayton, Georgia, US",84013063,0.4127659574468085,orange
"Clinch, Georgia, US",84013065,1.0,red
"Cobb, Georgia, US",84013067,0.6288014311270125,orange
"Coffee, Georgia, US",84013069,0.5762711864406779,orange
"Colquitt, Georgia, US",84013071,0.6623376623376622,orange
"Columbia, Georgia, US",84013073,0.5081967213114754,orange
"Cook, Georgia, US",84013075,-0.03571428571428572,green
"Coweta, Georgia, US",84013077,0.21153846153846154,yellow
"Crawford, Georgia, US",84013079,0.5,orange
"Crisp, Georgia, US",84013081,0.2426470588235294,yellow
"Dade, Georgia, US",84013083,0.2692307692307692,yellow
"Dawson, Georgia, US",84013085,0.36363636363636365,yellow
"Decatur, Georgia, US",84013087,0.5116279069767442,orange
"DeKalb, Georgia, US",84013089,0.5603864734299517,orange
"Dodge, Georgia, US",84013091,1.0,red
"Dooly, Georgia, US",84013093,0.32456140350877194,yellow
"Dougherty, Georgia, US",84013095,0.104,yellow
"Douglas, Georgia, US",84013097,0.38636363636363635,yellow
"Early, Georgia, US",84013099,0.0935672514619883,green
"Echols, Georgia, US",84013101,1.0,red
"Effingham, Georgia, US",84013103,0.5588235294117647,orange
"Elbert, Georgia, US",84013105,1.0,red
"Emanuel, Georgia, US",84013107,0.3,yellow
"Evans, Georgia, US",84013109,0.0,green
"Fannin, Georgia, US",84013111,0.33333333333333337,yellow
"Fayette, Georgia, US",84013113,0.25862068965517243,yellow
"Floyd, Georgia, US",84013115,0.5547445255474452,orange
"Forsyth, Georgia, US",84013117,0.34653465346534656,yellow
"Franklin, Georgia, US",84013119,0.6086956521739131,orange
"Fulton, Georgia, US",84013121,0.3865779256794232,yellow
"Gilmer, Georgia, US",84013123,0.37735849056603776,yellow
"Glynn, Georgia, US",84013127,0.2765957446808511,yellow
"Gordon, Georgia, US",84013129,0.23333333333333334,yellow
"Grady, Georgia, US",84013131,0.28571428571428575,yellow
"Greene, Georgia, US",84013133,0.15217391304347827,yellow
"Gwinnett, Georgia, US",84013135,0.484593837535014,orange
"Habersham, Georgia, US",84013137,0.32718894009216587,yellow
"Hall, Georgia, US",84013139,0.21137277426766227,yellow
"Hancock, Georgia, US",84013141,0.4619565217391305,orange
"Haralson, Georgia, US",84013143,0.20689655172413793,yellow
"Harris, Georgia, US",84013145,0.26153846153846155,yellow
"Hart, Georgia, US",84013147,0.9375,red
"Heard, Georgia, US",84013149,1.0,red
"Henry, Georgia, US",84013151,0.0755287009063444,green
"Houston, Georgia, US",84013153,0.44,orange
"Irwin, Georgia, US",84013155,0.125,yellow
"Jackson, Georgia, US",84013157,0.2558139534883721,yellow
"Jasper, Georgia, US",84013159,0.08333333333333334,green
"Jeff Davis, Georgia, US",84013161,0.15384615384615385,yellow
"Jefferson, Georgia, US",84013163,1.0,red
"Jenkins, Georgia, US",84013165,-0.10526315789473685,green
"Johnson, Georgia, US",84013167,0.5714285714285715,orange
"Jones, Georgia, US",84013169,0.04347826086956522,green
"Lamar, Georgia, US",84013171,0.32142857142857145,yellow
"Lanier, Georgia, US",84013173,0.1,green
"Laurens, Georgia, US",84013175,0.7346938775510203,orange
"Lee, Georgia, US",84013177,0.021021021021021023,green
"Liberty, Georgia, US",84013179,0.18421052631578946,yellow
"Lincoln, Georgia, US",84013181,0.25,yellow
"Long, Georgia, US",84013183,0.33333333333333337,yellow
"Lowndes, Georgia, US",84013185,0.3983739837398374,yellow
"Lumpkin, Georgia, US",84013187,0.16091954022988506,yellow
"McDuffie,Georgia,US",84013189,0.18367346938775508,yellow
"McIntosh, Georgia, US",84013191,0.888888888888889,red
"Macon, Georgia, US",84013193,0.22093023255813954,yellow
"Madison, Georgia, US",84013195,0.10526315789473685,yellow
"Marion, Georgia, US",84013197,0.3191489361702127,yellow
"Meriwether, Georgia, US",84013199,0.18867924528301888,yellow
"Miller, Georgia, US",84013201,0.28571428571428575,yellow
"Mitchell, Georgia, US",84013205,0.29965156794425085,yellow
"Monroe, Georgia, US",84013207,1.0,red
"Montgomery, Georgia, US",84013209,0.6666666666666667,orange
"Morgan, Georgia, US",84013211,0.11538461538461538,yellow
"Murray, Georgia, US",84013213,0.7,orange
"Muscogee, Georgia, US",84013215,0.5422077922077921,orange
"Newton, Georgia, US",84013217,0.17054263565891473,yellow
"Oconee, Georgia, US",84013219,0.6590909090909091,orange
"Oglethorpe, Georgia, US",84013221,0.0,green
"Paulding, Georgia, US",84013223,0.35000000000000003,yellow
"Peach, Georgia, US",84013225,0.2765957446808511,yellow
"Pickens, Georgia, US",84013227,0.631578947368421,orange
"Pierce, Georgia, US",84013229,0.38461538461538464,yellow
"Pike, Georgia, US",84013231,0.075,green
"Polk, Georgia, US",84013233,0.6170212765957447,orange
"Pulaski, Georgia, US",84013235,0.14285714285714288,yellow
"Putnam, Georgia, US",84013237,0.9803921568627452,red
"Quitman, Georgia, US",84013239,0.5,orange
"Rabun, Georgia, US",84013241,0.18181818181818182,yellow
"Randolph, Georgia, US",84013243,0.008771929824561403,green
"Richmond, Georgia, US",84013245,0.2612137203166227,yellow
"Rockdale, Georgia, US",84013247,0.2573529411764706,yellow
"Schley, Georgia, US",84013249,0.2,yellow
"Screven, Georgia, US",84013251,0.37499999999999994,yellow
"Seminole, Georgia, US",84013253,0.5833333333333334,orange
"Spalding, Georgia, US",84013255,0.13157894736842105,yellow
"Stephens, Georgia, US",84013257,0.5111111111111111,orange
"Stewart, Georgia, US",84013259,0.75,orange
"Sumter, Georgia, US",84013261,0.1131578947368421,yellow
